,Florida,California,Pennsylvania,Texas,Virginia,New York,Massachusetts,Colorado,Connecticut,Arizona,Utah,Illinois,the District of Columbia,New Jersey,Michigan,North Carolina,New Hampshire,Wyoming,Maryland,Maine,Washington,Idaho,Oregon,Georgia,Iowa,Missouri,Indiana,Minnesota,North Dakota,Nevada,Delaware,Montana,Louisiana,Hawaii,Rhode Island,Vermont,Alabama,Tennessee,Wisconsin,South Carolina,Nebraska,New Mexico,Ohio,Kentucky,Alaska,West Virginia,Kansas,Mississippi,South Dakota,Oklahoma,Arkansas
2000-01-01,108435.82380663765,191445.10740971228,102601.54488921296,114619.2497797441,127097.19969489174,156666.4921048034,202064.28106656414,181040.83010741175,168410.28357798068,136916.55893496875,172474.1210047977,132960.93274215687,165211.2381705186,174366.09581001196,121300.16615255151,131139.37988519776,138045.57022890358,,155146.97286364614,111002.72311936461,179488.8413722275,126510.55241835663,154888.87386216817,127820.74892064584,93893.85099187079,100200.32087966478,100509.68295353143,129890.75165192227,,156559.7833717168,151345.10417985017,,111369.79390377643,195601.87853916932,135187.49599725122,121538.6141252065,101743.71180797451,114568.86335428515,125577.18269891855,115856.30207757869,119593.29583669212,,108558.65666912886,87273.09499370947,139749.2986981566,74925.2846684988,92051.70897858132,90987.33312093832,111333.77363191567,84951.49610502755,90817.34638939744
2000-02-01,108670.70589495981,192088.61155847932,102821.00182354858,114681.53684079644,127426.08049255953,157224.37871180597,202738.90648420353,181683.6556350991,169051.88296970975,137164.5550746231,172568.61668452225,133067.48855966103,165751.6084052447,174836.12561857974,121366.97538812166,131338.8914998601,138514.53265539586,,155125.4543643744,111372.03121525174,179893.7034465033,126433.85977807194,155229.490953582,128111.00773783104,94073.27773281423,100317.76337601434,100371.48445903027,130327.96869652823,,156579.35382809135,151580.56242826144,,111584.61617534402,195511.38110226806,135802.3171618532,121742.12737905039,101920.88423020199,114664.43769765148,125540.73642746158,116112.06612513037,119784.47066342173,,108624.99585597245,87318.15366420447,139908.0243776004,74922.07746407064,92069.77890294202,90937.43280397539,111097.22614424073,84986.53881275769,90938.71944381387
2000-03-01,108955.42980551392,192957.49973516396,103027.232391726,114711.74704121734,127774.77133977872,157761.4345388577,203541.6042752247,182394.0443460249,169721.81937795982,137483.73066151186,172716.97468440016,133297.8137401736,166518.338046785,175284.61686230986,121611.56860020233,131544.38445704136,139074.36077611265,,155235.38085339082,111701.77618398955,180306.69880788928,126482.45136956505,155540.66855593325,128445.91793804477,94242.66409740139,100493.5938569039,100216.26536688655,130734.74867683207,,156821.66601428992,151873.72914148148,,111751.55113633355,195811.5905314197,136447.98051964538,122061.7378789998,102039.59320013762,114761.91305344009,125681.22334764275,116320.47501068836,119961.65456732293,,108725.60274946071,87400.1360710989,140066.6670440652,74946.29562465496,92176.23670335738,90935.2619417457,110766.19543753157,85149.88410046378,91076.42739553582
2000-04-01,109534.20028321749,194843.5968898368,103447.49895262484,114861.68294483401,128433.68107267923,158916.49562558794,205122.5804501271,183982.4479650169,170856.8235867454,138135.46881480422,173089.20747446085,133839.6506884939,168162.36416897143,176278.2635337093,122098.79731673514,131990.1349772703,139914.74038803313,,155500.63672374212,112428.2233360766,181140.22902960284,126583.33840048598,156193.65415610405,129151.05091647549,94608.53401042636,100895.50287115632,99744.41610408878,131689.61476037165,,157376.96732707985,152544.1947728617,,112127.89662478607,196332.35507819208,137723.70595560572,122689.75366271731,102305.53683661832,114996.43105838283,125882.97599499531,116798.2217942059,120236.69775059416,,109021.4421743991,87603.86985201656,140252.71781226588,75007.59322502966,92335.38370564894,91000.85899838626,110320.0015483745,85447.32730577119,91370.45612566695
2000-05-01,110158.34187429026,197035.90070840894,103879.21794039982,114958.78378733096,129069.78624553571,160111.5709525657,206833.9093000023,185755.38178809462,171789.49614722375,138874.22322935806,174438.197357506,134482.55716502774,169986.9289286692,177291.20818885023,122817.31747519538,132486.72582620117,140834.58405277022,,156055.72070888124,113112.5403209534,182049.97485753414,126912.31282737448,156775.97839508046,129928.7845057049,95012.763769964,101414.65283348353,99516.42876766005,132737.12245593828,,158084.56963461466,153308.89066692526,,112526.63084542677,197352.48875377967,138994.9089018662,123412.97625012459,102602.15375056704,115266.9554463722,126285.48847075843,117244.27288576444,120376.1747574085,,109472.52373042522,87874.63770026954,140532.80266642632,75127.1817598943,92575.28356279961,91320.06625720735,110134.37185212213,85846.83978678557,91660.45970075698
2000-06-01,110795.16738787478,199401.3901601513,104322.90826495981,115067.65747001139,129684.05829873898,161403.77787637748,208688.10242981577,187669.86789274457,172713.28622736104,139537.18176843508,175925.37940936824,135205.1020249385,171946.75976318895,178500.14738251377,123606.46861053199,133014.97675056846,141806.30925138594,,156726.84940458505,113880.78599554942,182918.44699381563,127314.3751348331,157316.4936593828,130752.92033426242,95420.77197824385,101988.34638073313,99583.77141254081,133948.2398065298,,158719.82185988178,154152.5462349656,,112960.9811850477,198504.57125911702,139963.46918176042,124088.25693540559,102960.77548443218,115535.43888276258,126757.90770986384,117735.60607720912,120458.71341051733,,110032.222018081,88172.29146088683,140742.18293681907,75325.84559884992,92845.88473643154,91776.7632969655,110007.17662150496,86225.58618315129,91938.8862663931
2000-07-01,111435.02126588758,201899.51597965098,104794.08002480544,115139.2043248049,130429.71937445068,162565.46731345294,210882.30226894826,189609.7352144538,173745.76091677707,140211.34549686735,177416.2496697413,135988.80199399273,173807.37000388748,179868.17354222023,124527.11871637432,133530.82195301095,143154.8611121306,,157521.14251109285,114706.92804635334,183861.9520451169,127711.98128135876,157766.53627091306,131585.68754237655,95835.11997131321,102612.05817501526,100073.14775677376,135280.43817873797,,159212.17375962308,155010.93078939244,,113385.60881838018,199656.70299478868,140848.6671636705,124760.90501707977,103292.84551976208,115825.85952254308,127383.52221906812,118212.39891713754,120554.31235941104,,110585.51431574323,88507.8880896533,141179.09288328388,75586.91021437464,93197.87687598304,92198.53578551894,109918.47647685405,86617.78031052985,92208.00499488297
2000-08-01,112086.67963238103,204507.6912501911,105243.86448659946,115350.8680351673,131309.03075327966,163582.32905060807,213582.49433248836,191715.549227847,174994.84086372386,140858.93503972585,178030.3390845059,137104.30510435117,175407.8232455249,181530.51984284178,125456.44426488208,134017.27139889836,144734.71410808305,,158258.2471633483,115566.38813022974,184733.75487023118,128113.55016105453,158247.22444716853,132465.97489275088,96189.44821159293,103284.61722992481,100571.95840396317,137104.9759338072,,159686.5290454725,155846.20525033024,,113721.36025526228,200989.8456762636,141735.66263009555,125456.33446021589,103592.93729338622,116125.60611875821,128074.9716933472,118737.2717778861,120783.09969066548,,111123.2771071815,88891.80108897992,141384.58825553794,75928.40221079743,93580.10893447888,92600.24301665694,109755.50099540222,86982.87426715424,92514.16864919686
2000-09-01,112762.12816358806,207121.91912348874,105702.15270066961,115628.43373664009,132269.96116970296,164485.90835527587,216616.66164206763,193926.156066783,176310.00430519713,141575.16484426204,178567.2755286029,138416.15645230477,176610.0072062735,183368.73682429083,126344.68876131244,134492.0662275169,146432.0008754539,,159011.58209953146,116460.7928124889,185527.30576001646,128449.72006664274,158651.42117403532,133365.6782203026,96559.05264357808,103961.79451627517,100961.74025675164,138991.17509326665,,160257.43339880262,156617.2431807476,,114103.74721961476,202307.6072709103,142828.5444290328,126225.1548651562,103914.83985775353,116483.73197667986,128767.60857095396,119279.13173852656,121062.5642885551,,111651.66533685527,89317.91101708577,141572.04611261244,76234.18396611908,93938.14468025403,92958.0908470975,109982.54932403693,87314.75109735502,92860.45414911432
2000-10-01,113451.65570653655,209601.05534812668,106141.6679280468,115925.85072124832,133179.15731212494,165454.4264937333,219821.8123271064,196121.84024964858,177749.2443421925,142265.2657622731,179020.80463919602,139930.27199641932,176916.29127511647,185227.5117617198,127174.27249609873,134994.02873216118,148384.8687529566,,159806.57149717305,117306.38460154191,186218.30122887102,128774.32449813439,159057.4349262546,134300.77075273814,97014.58032319113,104681.67242813588,101438.9335865309,140921.53047453274,,160899.27649840692,157305.78115450972,,114556.57266979374,203687.08976916844,143923.97067942226,127150.35962663738,104284.20761697208,116830.56980852595,129445.80139714626,119812.47891818534,121356.00983791484,,112162.09646706656,89715.99303643899,141511.94621705683,76586.86111718725,94304.1902367177,93454.5878389333,110237.03322812116,87611.34814699607,93208.33411531038
